INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID,MW,GROUP
2022-04-01T07:00:00-00:00,2022-04-01T08:00:00-00:00,2022-04-01,1,CRESSEY_1_N001,57.08549,1
2022-04-01T08:00:00-00:00,2022-04-01T09:00:00-00:00,2022-04-01,2,CRESSEY_1_N001,54.28658,1
2022-04-01T09:00:00-00:00,2022-04-01T10:00:00-00:00,2022-04-01,3,CRESSEY_1_N001,54.76379,1
2022-04-01T10:00:00-00:00,2022-04-01T11:00:00-00:00,2022-04-01,4,CRESSEY_1_N001,56.72617,1
2022-04-01T11:00:00-00:00,2022-04-01T12:00:00-00:00,2022-04-01,5,CRESSEY_1_N001,63.56081,1
2022-04-01T12:00:00-00:00,2022-04-01T13:00:00-00:00,2022-04-01,6,CRESSEY_1_N001,72.95349,1
2022-04-01T13:00:00-00:00,2022-04-01T14:00:00-00:00,2022-04-01,7,CRESSEY_1_N001,86.87132,1
2022-04-01T14:00:00-00:00,2022-04-01T15:00:00-00:00,2022-04-01,8,CRESSEY_1_N001,74.08681,1
2022-04-01T15:00:00-00:00,2022-04-01T16:00:00-00:00,2022-04-01,9,CRESSEY_1_N001,49.71815,1
2022-04-01T16:00:00-00:00,2022-04-01T17:00:00-00:00,2022-04-01,10,CRESSEY_1_N001,-11.89258,1
2022-04-01T17:00:00-00:00,2022-04-01T18:00:00-00:00,2022-04-01,11,CRESSEY_1_N001,-94.79818,1
2022-04-01T18:00:00-00:00,2022-04-01T19:00:00-00:00,2022-04-01,12,CRESSEY_1_N001,-106.72509,1
2022-04-01T19:00:00-00:00,2022-04-01T20:00:00-00:00,2022-04-01,13,CRESSEY_1_N001,-109.72364,1
2022-04-01T20:00:00-00:00,2022-04-01T21:00:00-00:00,2022-04-01,14,CRESSEY_1_N001,-114.78527,1
2022-04-01T21:00:00-00:00,2022-04-01T22:00:00-00:00,2022-04-01,15,CRESSEY_1_N001,-82.7798,1
2022-04-01T22:00:00-00:00,2022-04-01T23:00:00-00:00,2022-04-01,16,CRESSEY_1_N001,-91.42035,1
2022-04-01T23:00:00-00:00,2022-04-02T00:00:00-00:00,2022-04-01,17,CRESSEY_1_N001,-95.6253,1
2022-04-02T00:00:00-00:00,2022-04-02T01:00:00-00:00,2022-04-01,18,CRESSEY_1_N001,50.30208,1
2022-04-02T01:00:00-00:00,2022-04-02T02:00:00-00:00,2022-04-01,19,CRESSEY_1_N001,77.1545,1
2022-04-02T02:00:00-00:00,2022-04-02T03:00:00-00:00,2022-04-01,20,CRESSEY_1_N001,101.17591,1
2022-04-02T03:00:00-00:00,2022-04-02T04:00:00-00:00,2022-04-01,21,CRESSEY_1_N001,89.39112,1
2022-04-02T04:00:00-00:00,2022-04-02T05:00:00-00:00,2022-04-01,22,CRESSEY_1_N001,76.61135,1
2022-04-02T05:00:00-00:00,2022-04-02T06:00:00-00:00,2022-04-01,23,CRESSEY_1_N001,73.58435,1
2022-04-02T06:00:00-00:00,2022-04-02T07:00:00-00:00,2022-04-01,24,CRESSEY_1_N001,68.92069,1
2022-04-02T07:00:00-00:00,2022-04-02T08:00:00-00:00,2022-04-02,1,CRESSEY_1_N001,64.41269,6
2022-04-02T08:00:00-00:00,2022-04-02T09:00:00-00:00,2022-04-02,2,CRESSEY_1_N001,58.23557,6
2022-04-02T09:00:00-00:00,2022-04-02T10:00:00-00:00,2022-04-02,3,CRESSEY_1_N001,55.21869,6
2022-04-02T10:00:00-00:00,2022-04-02T11:00:00-00:00,2022-04-02,4,CRESSEY_1_N001,56.15984,6
2022-04-02T11:00:00-00:00,2022-04-02T12:00:00-00:00,2022-04-02,5,CRESSEY_1_N001,58.64522,6
2022-04-02T12:00:00-00:00,2022-04-02T13:00:00-00:00,2022-04-02,6,CRESSEY_1_N001,65.39409,6
2022-04-02T13:00:00-00:00,2022-04-02T14:00:00-00:00,2022-04-02,7,CRESSEY_1_N001,65.77402,6
2022-04-02T14:00:00-00:00,2022-04-02T15:00:00-00:00,2022-04-02,8,CRESSEY_1_N001,56.57109,6
2022-04-02T15:00:00-00:00,2022-04-02T16:00:00-00:00,2022-04-02,9,CRESSEY_1_N001,9.01853,6
2022-04-02T16:00:00-00:00,2022-04-02T17:00:00-00:00,2022-04-02,10,CRESSEY_1_N001,14.25,6
2022-04-02T17:00:00-00:00,2022-04-02T18:00:00-00:00,2022-04-02,11,CRESSEY_1_N001,10.29,6
2022-04-02T18:00:00-00:00,2022-04-02T19:00:00-00:00,2022-04-02,12,CRESSEY_1_N001,1.43591,6
2022-04-02T19:00:00-00:00,2022-04-02T20:00:00-00:00,2022-04-02,13,CRESSEY_1_N001,1.10904,6
2022-04-02T20:00:00-00:00,2022-04-02T21:00:00-00:00,2022-04-02,14,CRESSEY_1_N001,1.36995,6
2022-04-02T21:00:00-00:00,2022-04-02T22:00:00-00:00,2022-04-02,15,CRESSEY_1_N001,1.5685,6
2022-04-02T22:00:00-00:00,2022-04-02T23:00:00-00:00,2022-04-02,16,CRESSEY_1_N001,1.58062,6
2022-04-02T23:00:00-00:00,2022-04-03T00:00:00-00:00,2022-04-02,17,CRESSEY_1_N001,-9.38978,6
2022-04-03T00:00:00-00:00,2022-04-03T01:00:00-00:00,2022-04-02,18,CRESSEY_1_N001,37.59749,6
2022-04-03T01:00:00-00:00,2022-04-03T02:00:00-00:00,2022-04-02,19,CRESSEY_1_N001,65.25341,6
2022-04-03T02:00:00-00:00,2022-04-03T03:00:00-00:00,2022-04-02,20,CRESSEY_1_N001,85.22392,6
2022-04-03T03:00:00-00:00,2022-04-03T04:00:00-00:00,2022-04-02,21,CRESSEY_1_N001,77.62318,6
2022-04-03T04:00:00-00:00,2022-04-03T05:00:00-00:00,2022-04-02,22,CRESSEY_1_N001,69.95322,6
2022-04-03T05:00:00-00:00,2022-04-03T06:00:00-00:00,2022-04-02,23,CRESSEY_1_N001,64.23204,6
2022-04-03T06:00:00-00:00,2022-04-03T07:00:00-00:00,2022-04-02,24,CRESSEY_1_N001,60.01524,6
2022-04-03T07:00:00-00:00,2022-04-03T08:00:00-00:00,2022-04-03,1,CRESSEY_1_N001,55.98148,11
2022-04-03T08:00:00-00:00,2022-04-03T09:00:00-00:00,2022-04-03,2,CRESSEY_1_N001,53.74846,11
2022-04-03T09:00:00-00:00,2022-04-03T10:00:00-00:00,2022-04-03,3,CRESSEY_1_N001,52.06603,11
2022-04-03T10:00:00-00:00,2022-04-03T11:00:00-00:00,2022-04-03,4,CRESSEY_1_N001,51.50512,11
2022-04-03T11:00:00-00:00,2022-04-03T12:00:00-00:00,2022-04-03,5,CRESSEY_1_N001,51.9419,11
2022-04-03T12:00:00-00:00,2022-04-03T13:00:00-00:00,2022-04-03,6,CRESSEY_1_N001,53.53996,11
2022-04-03T13:00:00-00:00,2022-04-03T14:00:00-00:00,2022-04-03,7,CRESSEY_1_N001,54.23749,11
2022-04-03T14:00:00-00:00,2022-04-03T15:00:00-00:00,2022-04-03,8,CRESSEY_1_N001,48.21328,11
2022-04-03T15:00:00-00:00,2022-04-03T16:00:00-00:00,2022-04-03,9,CRESSEY_1_N001,19.9404,11
2022-04-03T16:00:00-00:00,2022-04-03T17:00:00-00:00,2022-04-03,10,CRESSEY_1_N001,5.63997,11
2022-04-03T17:00:00-00:00,2022-04-03T18:00:00-00:00,2022-04-03,11,CRESSEY_1_N001,-1.69913,11
2022-04-03T18:00:00-00:00,2022-04-03T19:00:00-00:00,2022-04-03,12,CRESSEY_1_N001,-4.32661,11
2022-04-03T19:00:00-00:00,2022-04-03T20:00:00-00:00,2022-04-03,13,CRESSEY_1_N001,-1.52266,11
2022-04-03T20:00:00-00:00,2022-04-03T21:00:00-00:00,2022-04-03,14,CRESSEY_1_N001,-1.53961,11
2022-04-03T21:00:00-00:00,2022-04-03T22:00:00-00:00,2022-04-03,15,CRESSEY_1_N001,-3.77735,11
2022-04-03T22:00:00-00:00,2022-04-03T23:00:00-00:00,2022-04-03,16,CRESSEY_1_N001,-0.30983,11
2022-04-03T23:00:00-00:00,2022-04-04T00:00:00-00:00,2022-04-03,17,CRESSEY_1_N001,0.67525,11
2022-04-04T00:00:00-00:00,2022-04-04T01:00:00-00:00,2022-04-03,18,CRESSEY_1_N001,19.28452,11
2022-04-04T01:00:00-00:00,2022-04-04T02:00:00-00:00,2022-04-03,19,CRESSEY_1_N001,55.3211,11
2022-04-04T02:00:00-00:00,2022-04-04T03:00:00-00:00,2022-04-03,20,CRESSEY_1_N001,72.15217,11
2022-04-04T03:00:00-00:00,2022-04-04T04:00:00-00:00,2022-04-03,21,CRESSEY_1_N001,66.82086,11
2022-04-04T04:00:00-00:00,2022-04-04T05:00:00-00:00,2022-04-03,22,CRESSEY_1_N001,60.08626,11
2022-04-04T05:00:00-00:00,2022-04-04T06:00:00-00:00,2022-04-03,23,CRESSEY_1_N001,55.12252,11
2022-04-04T06:00:00-00:00,2022-04-04T07:00:00-00:00,2022-04-03,24,CRESSEY_1_N001,52.42451,11
2022-04-04T07:00:00-00:00,2022-04-04T08:00:00-00:00,2022-04-04,1,CRESSEY_1_N001,50.29049,16
2022-04-04T08:00:00-00:00,2022-04-04T09:00:00-00:00,2022-04-04,2,CRESSEY_1_N001,48.6496,16
2022-04-04T09:00:00-00:00,2022-04-04T10:00:00-00:00,2022-04-04,3,CRESSEY_1_N001,46.76377,16
2022-04-04T10:00:00-00:00,2022-04-04T11:00:00-00:00,2022-04-04,4,CRESSEY_1_N001,48.28027,16
2022-04-04T11:00:00-00:00,2022-04-04T12:00:00-00:00,2022-04-04,5,CRESSEY_1_N001,52.61645,16
2022-04-04T12:00:00-00:00,2022-04-04T13:00:00-00:00,2022-04-04,6,CRESSEY_1_N001,63.91547,16
2022-04-04T13:00:00-00:00,2022-04-04T14:00:00-00:00,2022-04-04,7,CRESSEY_1_N001,73.03013,16
2022-04-04T14:00:00-00:00,2022-04-04T15:00:00-00:00,2022-04-04,8,CRESSEY_1_N001,61.6096,16
2022-04-04T15:00:00-00:00,2022-04-04T16:00:00-00:00,2022-04-04,9,CRESSEY_1_N001,-10.22162,16
2022-04-04T16:00:00-00:00,2022-04-04T17:00:00-00:00,2022-04-04,10,CRESSEY_1_N001,18.05144,16
2022-04-04T17:00:00-00:00,2022-04-04T18:00:00-00:00,2022-04-04,11,CRESSEY_1_N001,6.22661,16
2022-04-04T18:00:00-00:00,2022-04-04T19:00:00-00:00,2022-04-04,12,CRESSEY_1_N001,3.96956,16
2022-04-04T19:00:00-00:00,2022-04-04T20:00:00-00:00,2022-04-04,13,CRESSEY_1_N001,-2.81606,16
2022-04-04T20:00:00-00:00,2022-04-04T21:00:00-00:00,2022-04-04,14,CRESSEY_1_N001,0.19457,16
2022-04-04T21:00:00-00:00,2022-04-04T22:00:00-00:00,2022-04-04,15,CRESSEY_1_N001,-6.0721,16
2022-04-04T22:00:00-00:00,2022-04-04T23:00:00-00:00,2022-04-04,16,CRESSEY_1_N001,-3.68915,16
2022-04-04T23:00:00-00:00,2022-04-05T00:00:00-00:00,2022-04-04,17,CRESSEY_1_N001,8.42171,16
2022-04-05T00:00:00-00:00,2022-04-05T01:00:00-00:00,2022-04-04,18,CRESSEY_1_N001,7.37954,16
2022-04-05T01:00:00-00:00,2022-04-05T02:00:00-00:00,2022-04-04,19,CRESSEY_1_N001,67.9973,16
2022-04-05T02:00:00-00:00,2022-04-05T03:00:00-00:00,2022-04-04,20,CRESSEY_1_N001,85.1261,16
2022-04-05T03:00:00-00:00,2022-04-05T04:00:00-00:00,2022-04-04,21,CRESSEY_1_N001,77.71635,16
2022-04-05T04:00:00-00:00,2022-04-05T05:00:00-00:00,2022-04-04,22,CRESSEY_1_N001,63.1,16
2022-04-05T05:00:00-00:00,2022-04-05T06:00:00-00:00,2022-04-04,23,CRESSEY_1_N001,62.06016,16
2022-04-05T06:00:00-00:00,2022-04-05T07:00:00-00:00,2022-04-04,24,CRESSEY_1_N001,58.92634,16
2022-04-05T07:00:00-00:00,2022-04-05T08:00:00-00:00,2022-04-05,1,CRESSEY_1_N001,52.22769,21
2022-04-05T08:00:00-00:00,2022-04-05T09:00:00-00:00,2022-04-05,2,CRESSEY_1_N001,50.53858,21
2022-04-05T09:00:00-00:00,2022-04-05T10:00:00-00:00,2022-04-05,3,CRESSEY_1_N001,48.27946,21
2022-04-05T10:00:00-00:00,2022-04-05T11:00:00-00:00,2022-04-05,4,CRESSEY_1_N001,48.2279,21
2022-04-05T11:00:00-00:00,2022-04-05T12:00:00-00:00,2022-04-05,5,CRESSEY_1_N001,51.97488,21
2022-04-05T12:00:00-00:00,2022-04-05T13:00:00-00:00,2022-04-05,6,CRESSEY_1_N001,61.68538,21
2022-04-05T13:00:00-00:00,2022-04-05T14:00:00-00:00,2022-04-05,7,CRESSEY_1_N001,78.53207,21
2022-04-05T14:00:00-00:00,2022-04-05T15:00:00-00:00,2022-04-05,8,CRESSEY_1_N001,66.03407,21
2022-04-05T15:00:00-00:00,2022-04-05T16:00:00-00:00,2022-04-05,9,CRESSEY_1_N001,0.59312,21
2022-04-05T16:00:00-00:00,2022-04-05T17:00:00-00:00,2022-04-05,10,CRESSEY_1_N001,21.54893,21
2022-04-05T17:00:00-00:00,2022-04-05T18:00:00-00:00,2022-04-05,11,CRESSEY_1_N001,7.92499,21
2022-04-05T18:00:00-00:00,2022-04-05T19:00:00-00:00,2022-04-05,12,CRESSEY_1_N001,-0.59925,21
2022-04-05T19:00:00-00:00,2022-04-05T20:00:00-00:00,2022-04-05,13,CRESSEY_1_N001,-2.95448,21
2022-04-05T20:00:00-00:00,2022-04-05T21:00:00-00:00,2022-04-05,14,CRESSEY_1_N001,-15.99452,21
2022-04-05T21:00:00-00:00,2022-04-05T22:00:00-00:00,2022-04-05,15,CRESSEY_1_N001,-0.76306,21
2022-04-05T22:00:00-00:00,2022-04-05T23:00:00-00:00,2022-04-05,16,CRESSEY_1_N001,-5.65037,21
2022-04-05T23:00:00-00:00,2022-04-06T00:00:00-00:00,2022-04-05,17,CRESSEY_1_N001,-3.03469,21
2022-04-06T00:00:00-00:00,2022-04-06T01:00:00-00:00,2022-04-05,18,CRESSEY_1_N001,8.68926,21
2022-04-06T01:00:00-00:00,2022-04-06T02:00:00-00:00,2022-04-05,19,CRESSEY_1_N001,76.87762,21
2022-04-06T02:00:00-00:00,2022-04-06T03:00:00-00:00,2022-04-05,20,CRESSEY_1_N001,98.22807,21
2022-04-06T03:00:00-00:00,2022-04-06T04:00:00-00:00,2022-04-05,21,CRESSEY_1_N001,88.42544,21
2022-04-06T04:00:00-00:00,2022-04-06T05:00:00-00:00,2022-04-05,22,CRESSEY_1_N001,78.77056,21
2022-04-06T05:00:00-00:00,2022-04-06T06:00:00-00:00,2022-04-05,23,CRESSEY_1_N001,69.29541,21
2022-04-06T06:00:00-00:00,2022-04-06T07:00:00-00:00,2022-04-05,24,CRESSEY_1_N001,60.76138,21
2022-04-06T07:00:00-00:00,2022-04-06T08:00:00-00:00,2022-04-06,1,CRESSEY_1_N001,62.87593,26
2022-04-06T08:00:00-00:00,2022-04-06T09:00:00-00:00,2022-04-06,2,CRESSEY_1_N001,57.80892,26
2022-04-06T09:00:00-00:00,2022-04-06T10:00:00-00:00,2022-04-06,3,CRESSEY_1_N001,56.69699,26
2022-04-06T10:00:00-00:00,2022-04-06T11:00:00-00:00,2022-04-06,4,CRESSEY_1_N001,59.65229,26
2022-04-06T11:00:00-00:00,2022-04-06T12:00:00-00:00,2022-04-06,5,CRESSEY_1_N001,64.66476,26
2022-04-06T12:00:00-00:00,2022-04-06T13:00:00-00:00,2022-04-06,6,CRESSEY_1_N001,73.2312,26
2022-04-06T13:00:00-00:00,2022-04-06T14:00:00-00:00,2022-04-06,7,CRESSEY_1_N001,101.96852,26
2022-04-06T14:00:00-00:00,2022-04-06T15:00:00-00:00,2022-04-06,8,CRESSEY_1_N001,80.97659,26
2022-04-06T15:00:00-00:00,2022-04-06T16:00:00-00:00,2022-04-06,9,CRESSEY_1_N001,54.745,26
2022-04-06T16:00:00-00:00,2022-04-06T17:00:00-00:00,2022-04-06,10,CRESSEY_1_N001,33.51469,26
2022-04-06T17:00:00-00:00,2022-04-06T18:00:00-00:00,2022-04-06,11,CRESSEY_1_N001,19.24583,26
2022-04-06T18:00:00-00:00,2022-04-06T19:00:00-00:00,2022-04-06,12,CRESSEY_1_N001,18.23553,26
2022-04-06T19:00:00-00:00,2022-04-06T20:00:00-00:00,2022-04-06,13,CRESSEY_1_N001,6.2729,26
2022-04-06T20:00:00-00:00,2022-04-06T21:00:00-00:00,2022-04-06,14,CRESSEY_1_N001,20.65477,26
2022-04-06T21:00:00-00:00,2022-04-06T22:00:00-00:00,2022-04-06,15,CRESSEY_1_N001,35.34706,26
2022-04-06T22:00:00-00:00,2022-04-06T23:00:00-00:00,2022-04-06,16,CRESSEY_1_N001,55.93359,26
2022-04-06T23:00:00-00:00,2022-04-07T00:00:00-00:00,2022-04-06,17,CRESSEY_1_N001,61.02186,26
2022-04-07T00:00:00-00:00,2022-04-07T01:00:00-00:00,2022-04-06,18,CRESSEY_1_N001,72.64735,26
2022-04-07T01:00:00-00:00,2022-04-07T02:00:00-00:00,2022-04-06,19,CRESSEY_1_N001,117.08464,26
2022-04-07T02:00:00-00:00,2022-04-07T03:00:00-00:00,2022-04-06,20,CRESSEY_1_N001,153.49495,26
2022-04-07T03:00:00-00:00,2022-04-07T04:00:00-00:00,2022-04-06,21,CRESSEY_1_N001,128.44533,26
2022-04-07T04:00:00-00:00,2022-04-07T05:00:00-00:00,2022-04-06,22,CRESSEY_1_N001,101.14468,26
2022-04-07T05:00:00-00:00,2022-04-07T06:00:00-00:00,2022-04-06,23,CRESSEY_1_N001,81.27914,26
2022-04-07T06:00:00-00:00,2022-04-07T07:00:00-00:00,2022-04-06,24,CRESSEY_1_N001,73.5316,26
